Fips_code,PM2.5 24hr 2012,SO2 24-hour 1971,Ozone 8-hour 2015,NO2 1-hour,Coal_Plants,Power_Plants,Airports,Public_Schools,Private Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1073,7.917857,0.993548,0.032207,24.99763,0.000899863,0,0.024296307,0.155676337,0.046792887,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
4013,13.51375,1.04125,0.03225,33.15185,0,0.000216328,0.029204344,0.275602475,0.032881928,78,267,4622.6,21108,6265,337,75.1,0,0,302
5035,6.541935,0,0.0317,17.36374,0,0,0.003916193,0.026107956,0.002610796,3,4,766.05,63257,25210,1072,56.1,32.3,1,248
5119,7.596678,0.783516,0.031378,19.6011,0,0,0.021097325,0.167460014,0.040876066,20,34,758.39,8062,3325,149,4.4,0,0,93
6065,4.597661,0,0.042194,7.93871,0,0,0.053450211,0.682826447,0.126944251,24,241,748.36,18807,7190,590,145.1,0,0,150
6079,6.416,0,0.032977,13.87097,0,0.000720093,0.008641113,0.059767698,0.013681762,6,54,1388.71,762148,277800,11512,236,96.8,2,645
6083,4.393817,0.033334,0.033119,7.15614,0,0,0.00285264,0.029477278,0.006656159,9,75,4206.63,766573,387600,21366,41.3,34.2,5,362
6111,4.068168,0,0.040124,15.48482,0,0,0.036519978,0.391759765,0.091299945,12,129,602.41,54478,19075,1295,28.9,0,0,129
8001,6.294118,0.871667,0.034579,43.30741,0,0,0.007876921,0.032958696,0.003731173,7,22,4824.22,78668,27105,819,53.6,15.9,0,144
8031,5.077962,0.742917,0.031036,46.74553,0,0,0.025301723,0.536396529,0.108797409,18,140,395.23,31162,10985,824,69.7,0,0,64
8059,0,0,0.041091,11.72833,0,0,0.053368913,1.147431621,0.200133422,3,79,149.9,1392,725,68,0,0,0,45
8067,0,0,0.0413,3.174194,0,0,0.003142678,0.015084852,0.004399749,2,8,1591,8127,4190,213,0,0,0,16
8103,7.422581,0,0.036533,10.27742,0,0,0.00369283,0.009232076,0.001846415,2,4,541.59,168424,64700,3117,129.4,0,0,263
10003,7.191985,0.380454,0.02725,29.28148,0,0,0.01846702,0.144477275,0.059746241,10,25,920.56,180786,76485,3583,43,0,0,198
12031,7.915179,0.901813,0.03781,19.57495,0.000984581,0,0.023629955,0.215623339,0.110273123,15,63,1015.66,16826,4795,190,0,0,0,55
13089,6.751759,-0.11333,0.027102,24.15583,0,0,0.064791636,0.447651303,0.191429834,16,40,339.55,26404,9815,585,56.3,0,0,74
