Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1001,#N/A,#N/A,#N/A,#N/A,0,0,2,15,6,1,1,594.44,"55,869",24300,869,50.7,0,0,114
1003,11.6,0,0,0,0,0,30,46,9,4,12,1589.78,"223,234",86310,5384,30.4,0,1,360
1005,#N/A,#N/A,#N/A,#N/A,0,0,2,9,2,1,0,884.88,"24,686",8785,455,14.7,0,0,193
1007,#N/A,#N/A,#N/A,#N/A,0,0,3,9,1,1,0,622.58,"22,394",8280,284,25.1,5.5,0,126
1009,#N/A,#N/A,#N/A,#N/A,0,0,6,20,2,1,0,644.78,"57,826",21350,698,13.1,0,0,183
1011,#N/A,#N/A,#N/A,#N/A,0,0,4,4,1,1,0,622.81,"10,101",4165,107,0,0,0,138
1013,#N/A,#N/A,#N/A,#N/A,0,0,5,7,1,2,0,776.83,"19,448",7690,422,45.3,0,0,188
1015,#N/A,#N/A,#N/A,#N/A,0,0,5,38,6,4,5,605.87,"113,605",45795,2319,65.9,29.3,0,374
1017,#N/A,#N/A,#N/A,#N/A,0,0,6,14,4,1,0,596.53,"33,254",13845,554,28.9,0,0,184
1019,#N/A,#N/A,#N/A,#N/A,0,0,7,8,0,1,1,553.7,"26,196",9950,361,0,0,0,169
1021,#N/A,#N/A,#N/A,#N/A,0,0,4,14,1,1,3,692.85,"44,428",17305,756,59.4,0,0,189
1023,#N/A,#N/A,#N/A,#N/A,0,0,2,4,2,1,0,913.5,"12,589",4145,257,26.7,0,0,153
1025,#N/A,#N/A,#N/A,#N/A,0,0,1,10,1,2,3,1238.47,"23,622",8010,600,42.9,0,0,155
1027,7.4,0,0,0,0,0,3,4,2,1,1,603.96,"13,235",5380,185,28.8,0,0,130
1029,#N/A,#N/A,#N/A,#N/A,0,0,0,9,0,0,1,560.1,"14,910",5575,170,19.7,19.7,0,165
1031,#N/A,#N/A,#N/A,#N/A,0,0,7,16,2,1,0,678.97,"52,342",21990,985,4.6,0,0,214
1033,#N/A,#N/A,#N/A,#N/A,0,0,4,25,0,2,3,592.62,"55,241",21630,1217,70.3,0,5,175
1035,#N/A,#N/A,#N/A,#N/A,0,0,5,8,1,1,0,850.16,"12,067",3755,196,39.1,0,0,226
1037,#N/A,#N/A,#N/A,#N/A,0,0,3,4,0,0,2,650.93,"10,663",3630,96,12.9,0,0,129
1039,#N/A,#N/A,#N/A,#N/A,0,0,2,15,0,3,0,1030.46,"37,049",14210,816,29.2,0,0,337
1041,#N/A,#N/A,#N/A,#N/A,0,0,2,4,1,2,3,608.84,"13,772",5550,214,0,0,0,171
1043,#N/A,#N/A,#N/A,#N/A,0,0,7,35,5,2,5,734.84,"83,768",31810,1739,24.6,0,0,245
1045,#N/A,#N/A,#N/A,#N/A,0,0,24,16,1,1,3,561.15,"49,172",20525,744,53.4,0,0,203
1047,#N/A,#N/A,#N/A,#N/A,0,0,1,24,3,1,0,978.7,"37,196",13880,721,110.7,0,0,227
1049,10.8,0,0,0,0,0,4,20,2,1,4,777.09,"71,513",27645,1110,39.2,0,0,300
1051,#N/A,#N/A,#N/A,#N/A,0,0,4,18,5,2,8,618.49,"81,209",32720,1179,16.2,0,0,198
1053,#N/A,#N/A,#N/A,#N/A,0,0,1,16,3,2,2,945.08,"36,633",11735,752,89.6,0,0,196
1055,9.5,0,0,0,0,0,1,41,5,4,9,534.99,"102,268",40545,1978,59.6,0,0,231
1057,#N/A,#N/A,#N/A,#N/A,0,0,3,6,0,1,0,627.66,"16,302",6055,299,20,0,0,191
1059,#N/A,#N/A,#N/A,#N/A,0,0,2,14,0,2,0,633.82,"31,362",12195,517,22.9,0,0,194
1061,#N/A,#N/A,#N/A,#N/A,0,0,8,13,0,1,0,574.41,"26,271",10100,400,0,0,0,205
1063,#N/A,#N/A,#N/A,#N/A,0,0,1,5,0,1,0,647.11,"8,111",2330,99,69.2,20,1,206
1065,#N/A,#N/A,#N/A,#N/A,0,0,4,7,1,1,0,643.94,"14,651",4935,178,20.3,16.9,0,178
1067,#N/A,#N/A,#N/A,#N/A,0,0,1,6,1,0,0,561.75,"17,205",6960,297,27.5,0,0,133
1069,#N/A,#N/A,#N/A,#N/A,0,1,0,31,5,5,5,579.82,"105,882",43370,2720,73.7,0,0,246
1071,#N/A,#N/A,#N/A,#N/A,0,0,6,25,2,1,2,1077.87,"51,626",20675,840,83.6,0,2,313
1073,17.6,13.5,0.045,50.5,1,0,27,173,52,14,24,1111.28,"658,573",292780,16430,318.4,41.9,4,1051
1075,#N/A,#N/A,#N/A,#N/A,0,0,3,5,0,0,0,604.85,"13,805",5095,246,37.8,0,0,181
1077,#N/A,#N/A,#N/A,#N/A,0,0,4,19,4,1,4,667.7,"92,729",38705,1996,16.2,0,4,265
1079,#N/A,#N/A,#N/A,#N/A,0,0,3,15,1,1,0,690.68,"32,924",12430,404,27.8,0,0,214
1081,#N/A,#N/A,#N/A,#N/A,0,0,4,37,7,1,4,607.54,"164,542",70200,2796,60.5,0,0,214
1083,#N/A,#N/A,#N/A,#N/A,0,1,4,26,3,2,2,559.94,"98,915",37985,1379,42.1,0,3,311
1085,#N/A,#N/A,#N/A,#N/A,0,0,0,8,1,0,2,715.91,"9,726",3390,108,46.7,0,0,157
1087,#N/A,#N/A,#N/A,#N/A,0,0,3,7,1,1,10,608.89,"18,068",7375,198,26.4,0,0,177
1089,#N/A,#N/A,#N/A,#N/A,0,0,9,80,25,7,22,801.59,"372,909",165460,8454,52.5,4.8,0,690
1091,#N/A,#N/A,#N/A,#N/A,0,0,3,10,2,1,1,976.88,"18,863",6555,465,110.6,0,0,203
1093,#N/A,#N/A,#N/A,#N/A,0,0,0,15,0,2,0,742.29,"29,709",11520,570,21.4,0,0,255
1095,#N/A,#N/A,#N/A,#N/A,0,0,2,35,1,2,6,565.84,"96,774",37550,1829,16.3,0,2,170
1097,11.9,5.5,0,0,1,0,17,101,36,7,15,1229.44,"413,210",169770,8813,151.5,29.9,54,592
1099,#N/A,#N/A,#N/A,#N/A,0,0,1,9,1,1,1,1025.68,"20,733",6425,390,80.8,0,0,145
1101,8.1,0,0,0,0,0,7,59,20,8,19,784.25,"226,486",100030,5585,99.6,0,1,584
1103,8.9,0,0,0,0,0,2,45,4,4,8,579.34,"119,679",49680,2620,40.6,0,7,263
1105,#N/A,#N/A,#N/A,#N/A,0,0,0,2,1,0,1,719.66,"8,923",2475,121,7.7,0,0,163
1107,#N/A,#N/A,#N/A,#N/A,0,0,3,8,1,1,0,881.41,"19,930",6730,256,58,0,0,239
1109,#N/A,#N/A,#N/A,#N/A,0,0,0,11,2,1,4,672.09,"33,114",14000,658,57.5,0,0,202
1111,#N/A,#N/A,#N/A,#N/A,0,0,1,12,1,1,6,580.55,"22,722",8265,338,30.8,0,0,166
1113,15.1,0,0,0,0,0,1,18,2,2,10,641.14,"57,961",24310,790,31.7,0,0,205
1115,#N/A,#N/A,#N/A,#N/A,0,0,5,27,4,1,4,631.9,"89,512",37615,1313,86.5,21,0,182
1117,0,36.6,0,0,1,0,6,46,13,3,20,784.93,"217,702",101260,5238,160.9,5,0,343
1119,0,1.8,0,0,0,0,1,7,1,1,1,903.89,"12,427",4200,197,27.2,27.2,0,245
