Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1073,17.6,13.5,0.045,50.5,1,0,27,173,52,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
4003,0,0,0.052,0,1,0,25,83,3,9,4,145504.79,71887,18055,458,124,53.7,0,256
4005,0,0,0.057,0,0,0,12,77,5,5,13,113594.08,125922,46330,2178,139.3,101.6,0,501
4007,0,69.7,0.059,0,0,0,4,36,3,4,2,11197.52,143476,63960,3746,285.6,196.2,0,403
4012,5.4,0,0.059,0,0,0,7,14,0,2,1,4757.93,9498,3545,83,41.2,0,0,89
4013,149.1,7,0.057,49,0,1,135,1274,152,78,267,4622.6,21108,6265,337,75.1,0,0,302
4017,0,0,0.05,0,1,0,8,91,10,6,7,4499.63,212181,65395,3784,122.8,119.5,0,623
4021,0,0,0.064,0,0,0,8,144,3,7,16,13311.08,1047279,423600,20300,121.6,86.2,0,1085
4025,0,0,0.055,0,0,0,23,100,12,7,16,9187.04,46498,17220,1153,30.2,0,0,133
4027,13.5,0,0.057,0,0,0,5,83,5,3,5,5365.61,235099,81005,5985,213.9,48.4,0,540
5035,19.1,0,0.055,38.3,0,0,3,20,2,3,4,766.05,63257,25210,1072,56.1,32.3,1,248
5101,0,0,0.069,0,0,0,1,7,0,0,1,900.57,8252,3100,121,16.5,13.8,0,134
5113,22.3,0,0.062,0,0,0,1,9,0,1,0,551.4,23528,9060,351,61.1,0,0,200
5119,17.6,4.6,0.051,39.5,0,0,16,127,31,20,34,758.39,8062,3325,149,4.4,0,0,93
5143,11.9,0,0.059,0,0,0,3,69,9,11,21,604.44,16545,5400,310,0,0,0,98
6019,36.2,0,0.062,0,0,0,37,351,23,15,97,1020.01,192843,78175,4516,0,0,0,184
6027,0,0,0.05,0,0,0,7,25,1,2,1,1707.88,181215,57190,2538,203.6,89.6,0,450
6031,30.7,0,0.05,0,0,0,17,68,4,4,6,1313.95,900202,323690,12924,349.1,41.6,0,662
6043,0,0,0.051,0,0,0,2,16,1,1,1,1256.46,258826,127180,10070,11,0,1,205
6057,11.5,0,0.059,0,0,0,9,53,8,2,6,1934.97,137744,68275,4270,39.2,0,0,154
6065,15.6,0,0.059,20.1,0,0,40,511,95,24,241,748.36,18807,7190,590,145.1,0,0,150
6069,0,0,0.053,0,0,0,2,27,5,2,0,790.57,1552058,632480,29515,158.5,80.3,2,735
6071,0,0,0.063,0,1,0,50,563,85,32,211,1407.01,62808,25605,986,11.5,2,0,75
6073,0,0,0.024,0,0,0,49,775,185,38,420,2553.04,2180085,834180,35635,766.9,371.5,0,1419
6079,14.4,0,0.046,24,0,1,12,83,19,6,54,1388.71,762148,277800,11512,236,96.8,2,645
6083,10.7,1,0.058,24,0,0,12,124,28,9,75,4206.63,766573,387600,21366,41.3,34.2,5,362
6089,27.7,0,0.052,0,0,0,12,106,9,7,11,3298.57,273213,128895,7061,42.2,2.3,0,192
6107,39.7,0,0.056,0,0,0,7,196,12,7,60,1575.85,12285,4590,246,0,0,0,194
6111,15.2,0,0.063,32,0,0,22,236,55,12,129,602.41,54478,19075,1295,28.9,0,0,129
8001,12.6,4.9,0.05,67,0,0,38,159,18,7,22,4824.22,78668,27105,819,53.6,15.9,0,144
8005,8.3,0,0.054,0,0,0,77,166,29,9,13,1843.13,16233,6240,510,31.7,0,0,16
8013,15.5,0,0.054,0,0,0,31,88,23,7,92,1167.65,5577,1300,56,70.2,36.9,0,68
8019,0,0,0.06,0,0,0,2,5,0,0,1,2554.97,1831,965,64,62.6,0,0,61
