Fips_code,PM2.5 24hr 2012,SO2 24-hour 1971,Ozone 8-hour 2015,NO2 1-hour,Coal_Plants,Power_Plants,Airports,Public_Schools,Private Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1073,7.917857,0.993548,0.032207,24.99763,0.000899863,0,0.024296307,0.155676337,0.046792887,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
4003,0,0,0.042328,0,6.87E-06,0,0.000171816,0.000570428,2.06E-05,9,4,145504.79,71887,18055,458,124,53.7,0,256
4005,0,0,0.043634,0,0,0,0.000105639,0.000677852,4.40E-05,5,13,113594.08,125922,46330,2178,139.3,101.6,0,501
4007,0,1.96451,0.040303,0,0,0,0.000357222,0.003214998,0.000267916,4,2,11197.52,143476,63960,3746,285.6,196.2,0,403
4012,2.911111,0,0.042614,0,0,0,0.001471228,0.002942456,0,2,1,4757.93,9498,3545,83,41.2,0,0,89
4013,13.51375,1.04125,0.03225,33.15185,0,0.000216328,0.029204344,0.275602475,0.032881928,78,267,4622.6,21108,6265,337,75.1,0,0,302
4017,0,0,0.040373,0,0.00022224,0,0.001777924,0.020223885,0.002222405,6,7,4499.63,212181,65395,3784,122.8,119.5,0,623
4021,0,0,0.04383,0,0,0,0.000601003,0.010818055,0.000225376,7,16,13311.08,1047279,423600,20300,121.6,86.2,0,1085
4025,0,0,0.0433,0,0,0,0.002503527,0.010884899,0.001306188,7,16,9187.04,46498,17220,1153,30.2,0,0,133
4027,6.748352,0,0.041382,0,0,0,0.00093186,0.015468884,0.00093186,3,5,5365.61,235099,81005,5985,213.9,48.4,0,540
5035,6.541935,0,0.0317,17.36374,0,0,0.003916193,0.026107956,0.002610796,3,4,766.05,63257,25210,1072,56.1,32.3,1,248
5101,0,0,0.0369,0,0,0,0.001110408,0.007772855,0,0,1,900.57,8252,3100,121,16.5,13.8,0,134
5113,5.480645,0,0.035214,0,0,0,0.001813565,0.016322089,0,1,0,551.4,23528,9060,351,61.1,0,0,200
5119,7.596678,0.783516,0.031378,19.6011,0,0,0.021097325,0.167460014,0.040876066,20,34,758.39,8062,3325,149,4.4,0,0,93
5143,5.406667,0,0.037434,0,0,0,0.004963272,0.114155251,0.014889815,11,21,604.44,16545,5400,310,0,0,0,98
6019,15.32862,0,0.039202,0,0,0,0.036274154,0.344114273,0.022548799,15,97,1020.01,192843,78175,4516,0,0,0,184
6027,0,0,0.039646,0,0,0,0.004098649,0.014638031,0.000585521,2,1,1707.88,181215,57190,2538,203.6,89.6,0,450
6031,18.7,0,0.031622,0,0,0,0.012938087,0.05175235,0.003044256,4,6,1313.95,900202,323690,12924,349.1,41.6,0,662
6043,0,0,0.042339,0,0,0,0.001591774,0.01273419,0.000795887,1,1,1256.46,258826,127180,10070,11,0,1,205
6057,5.451418,0,0.041466,0,0,0,0.004651235,0.027390606,0.004134431,2,6,1934.97,137744,68275,4270,39.2,0,0,154
6065,4.597661,0,0.042194,7.93871,0,0,0.053450211,0.682826447,0.126944251,24,241,748.36,18807,7190,590,145.1,0,0,150
6069,0,0,0.037847,0,0,0,0.00252982,0.034152573,0.006324551,2,0,790.57,1552058,632480,29515,158.5,80.3,2,735
6071,0,0,0.046186,0,0.000710727,0,0.03553635,0.400139302,0.060411795,32,211,1407.01,62808,25605,986,11.5,2,0,75
6073,0,0,0.022,0,0,0,0.019192805,0.303559678,0.072462633,38,420,2553.04,2180085,834180,35635,766.9,371.5,0,1419
6079,6.416,0,0.032977,13.87097,0,0.000720093,0.008641113,0.059767698,0.013681762,6,54,1388.71,762148,277800,11512,236,96.8,2,645
6083,4.393817,0.033334,0.033119,7.15614,0,0,0.00285264,0.029477278,0.006656159,9,75,4206.63,766573,387600,21366,41.3,34.2,5,362
6089,8.711111,0,0.041672,0,0,0,0.00363794,0.032135137,0.002728455,7,11,3298.57,273213,128895,7061,42.2,2.3,0,192
6107,20.14118,0,0.034186,0,0,0,0.004442047,0.12437732,0.007614938,7,60,1575.85,12285,4590,246,0,0,0,194
6111,4.068168,0,0.040124,15.48482,0,0,0.036519978,0.391759765,0.091299945,12,129,602.41,54478,19075,1295,28.9,0,0,129
8001,6.294118,0.871667,0.034579,43.30741,0,0,0.007876921,0.032958696,0.003731173,7,22,4824.22,78668,27105,819,53.6,15.9,0,144
8005,3.376471,0,0.04196,0,0,0,0.04177676,0.090064184,0.015734104,9,13,1843.13,16233,6240,510,31.7,0,0,16
8013,4.139286,0,0.041281,0,0,0,0.026549052,0.075365049,0.019697683,7,92,1167.65,5577,1300,56,70.2,36.9,0,68
8019,0,0,0.045757,0,0,0,0.000782788,0.00195697,0,0,1,2554.97,1831,965,64,62.6,0,0,61
8031,5.077962,0.742917,0.031036,46.74553,0,0,0.025301723,0.536396529,0.108797409,18,140,395.23,31162,10985,824,69.7,0,0,64
8035,2.551429,0,0.04122,0,0,0,0.012225437,0.07579771,0.015485554,6,23,1226.95,2055,735,56,0,0,0,30
8041,0,0.922034,0.041746,0,0.001751237,0,0.013134276,0.201392233,0.02189046,12,52,1142.05,26729,12410,622,28.5,0,0,85
8045,0,0,0.036978,0,0,0,0.010308795,0.025303407,0.004685816,2,14,1067.05,47839,14100,865,30,0,0,137
8047,0,0,0.047576,0,0,0,0,0.002380244,0,0,2,840.25,60061,29415,2447,71.1,65.1,0,167
8051,0,0,0.047153,0,0,0,0.001620877,0.003782046,0,1,2,1850.85,15734,8235,843,65.5,65.5,0,82
8059,0,0,0.041091,11.72833,0,0,0.053368913,1.147431621,0.200133422,3,79,149.9,1392,725,68,0,0,0,45
8067,0,0,0.0413,3.174194,0,0,0.003142678,0.015084852,0.004399749,2,8,1591,8127,4190,213,0,0,0,16
8069,0,0,0.043336,0,0.000619686,0,0.014252782,0.058250502,0.00805592,8,52,1613.72,56221,27715,2400,32.7,32.7,0,95
8077,0,0,0.039674,0,0,0,0.031837839,0.14592343,0.021225226,4,17,376.91,22409,10350,581,111.1,0,0,182
8083,0,0,0.04149,0,0,0,0.000419053,0.003981,0.000419053,1,0,4772.67,13283,6260,405,53.4,0,0,79
8103,7.422581,0,0.036533,10.27742,0,0,0.00369283,0.009232076,0.001846415,2,4,541.59,168424,64700,3117,129.4,0,0,263
8123,4.408333,0,0.037375,0,0,0,0.046452812,0.258071176,0.018064982,2,59,387.49,4908,2140,115,40.2,37.4,0,77
10003,7.191985,0.380454,0.02725,29.28148,0,0,0.01846702,0.144477275,0.059746241,10,25,920.56,180786,76485,3583,43,0,0,198
12001,7.551099,0,0.038056,0,0.001504031,0,0.031584647,0.103778125,0.034592708,6,17,664.88,705749,345735,23585,31.7,22.5,2,244
12005,0,0,0.03631,0,0,0,0.044842175,0.103331969,0.013647618,5,8,512.91,29210,10050,388,39.9,0,0,90
12031,7.915179,0.901813,0.03781,19.57495,0.000984581,0,0.023629955,0.215623339,0.110273123,15,63,1015.66,16826,4795,190,0,0,0,55
12059,0,0,0.037235,0,0,0,0.015493967,0.023240951,0.001936746,1,0,516.33,1471968,623335,36819,179.1,24.8,38,814
12061,0,0,0.040192,0,0,0,0.040036605,0.082932967,0.02287806,4,2,349.68,19617,6335,259,23.4,0,0,156
12077,0,0,0.034667,0,0,0,0,0.009801904,0,0,0,1020.21,41503,13825,750,19.3,0,0,76
