Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1003,1,0,0,0,0,0,30,46,9,4,12,1589.78,223234,86310,5384,30.4,0,1,360
1027,1,0,0,0,0,0,3,4,2,1,1,603.96,13235,5380,185,28.8,0,0,130
1049,1,0,0,0,0,0,4,20,2,1,4,777.09,71513,27645,1110,39.2,0,0,300
1055,1,0,0,0,0,0,1,41,5,4,9,534.99,102268,40545,1978,59.6,0,0,231
1073,2,13.5,0.045,50.5,1,0,27,173,52,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
1097,1,5.5,0,0,1,0,17,101,36,7,15,1229.44,413210,169770,8813,151.5,29.9,54,592
1101,1,0,0,0,0,0,7,59,20,8,19,784.25,226486,100030,5585,99.6,0,1,584
1103,1,0,0,0,0,0,2,45,4,4,8,579.34,119679,49680,2620,40.6,0,7,263
1113,1,0,0,0,0,0,1,18,2,2,10,641.14,57961,24310,790,31.7,0,0,205
1117,1,36.6,0,0,1,0,6,46,13,3,20,784.93,217702,101260,5238,160.9,5,0,343
1119,1,1.8,0,0,0,0,1,7,1,1,1,903.89,12427,4200,197,27.2,27.2,0,245
1125,1,0,0,0,0,0,4,58,8,7,14,1321.76,209355,88780,4111,107.1,41.7,2,480
2068,1,0,0,0,1,0,4,4,0,0,0,503.84,2097,1320,111,83.1,80.9,0,23
2170,2,0,0,0,0,0,130,47,5,1,0,23652.01,1592,590,51,0,0,0,6
4001,1,0,0,0,2,0,14,61,3,4,1,7649.46,5230,2025,101,38.3,38.3,1,73
4003,1,0,0.052,0,1,0,25,83,3,9,4,145504.8,71887,18055,458,124,53.7,0,256
4005,1,0,0.057,0,0,0,12,77,5,5,13,113594.1,125922,46330,2178,139.3,101.6,0,501
4007,1,69.7,0.059,0,0,0,4,36,3,4,2,11197.52,143476,63960,3746,285.6,196.2,0,403
4012,1,0,0.059,0,0,0,7,14,0,2,1,4757.93,9498,3545,83,41.2,0,0,89
4013,4,7,0.057,49,0,1,135,1274,152,78,267,4622.6,21108,6265,337,75.1,0,0,302
4015,1,0,0,0,0,0,28,70,3,5,6,1843.13,4485414,1844235,94566,296.2,68.9,0,2702
4017,1,0,0.05,0,1,0,8,91,10,6,7,4499.63,212181,65395,3784,122.8,119.5,0,623
4019,1,0,0,0,0,0,24,383,50,21,33,9200.14,110924,31630,1770,118.5,54.7,0,267
4021,1,0,0.064,0,0,0,8,144,3,7,16,13311.08,1047279,423600,20300,121.6,86.2,0,1085
4023,2,0,0,0,0,0,1,31,1,1,1,9950.42,462789,138405,3713,200.7,69.3,0,704
4025,1,0,0.055,0,0,0,23,100,12,7,16,9187.04,46498,17220,1153,30.2,0,0,133
4027,1,0,0.057,0,0,0,5,83,5,3,5,5365.61,235099,81005,5985,213.9,48.4,0,540
5001,2,0,0,0,0,0,5,9,2,2,0,1236.92,213787,74390,3037,114,86,0,261
5003,1,0,0,0,0,0,5,7,0,1,0,8123.5,17486,7865,502,19.7,0,0,157
5035,2,0,0.055,38.3,0,0,3,20,2,3,4,766.05,63257,25210,1072,56.1,32.3,1,248
5051,2,0,0,0,0,0,5,28,6,6,0,828.36,12477,4275,161,13.9,0,0,102
5067,2,0,0,0,0,0,0,5,0,1,0,615.2,13629,4460,221,41.7,0,0,98
5101,1,0,0.069,0,0,0,1,7,0,0,1,900.57,8252,3100,121,16.5,13.8,0,134
5113,2,0,0.062,0,0,0,1,9,0,1,0,551.4,23528,9060,351,61.1,0,0,200
5119,2,4.6,0.051,39.5,0,0,16,127,31,20,34,758.39,8062,3325,149,4.4,0,0,93
5139,1,0,0,0,0,0,4,19,2,1,3,531.91,12506,4255,226,0,0,0,73
5143,1,0,0.059,0,0,0,3,69,9,11,21,604.44,16545,5400,310,0,0,0,98
6007,1,0,0,0,0,0,12,98,9,7,12,929.98,39752,12195,842,4.3,0,0,60
6011,2,0,0,0,0,0,17,22,1,1,0,739.02,45905,15995,924,0,0,0,105
6015,1,0,0,0,0,0,3,17,2,1,4,594.58,1153526,506485,23951,183.9,84,19,607
6019,2,0,0.062,0,0,0,37,351,23,15,97,1020.01,192843,78175,4516,0,0,0,184
6023,1,0,0,0,0,0,9,89,12,6,24,715.94,28393,10140,452,39.3,0,0,241
6025,2,0,0,0,0,0,11,74,8,2,4,1006.37,135558,57605,3209,0,0,1,396
6027,1,0,0.05,0,0,0,7,25,1,2,1,1707.88,181215,57190,2538,203.6,89.6,0,450
6029,2,0,0,0,0,0,35,268,30,15,47,5957.99,18039,8085,501,0,0,0,70
6031,2,0,0.05,0,0,0,17,68,4,4,6,1313.95,900202,323690,12924,349.1,41.6,0,662
6033,1,0,0,0,0,0,4,42,5,2,2,3567.99,152940,54565,1643,54.7,27.1,0,163
6037,1,0,0,0,0,0,163,2295,747,129,1319,10180.88,30573,8760,414,161,0,0,107
6039,2,0,0,0,0,0,5,79,5,2,26,8131.92,10039107,4591360,275316,509.2,245,97,3538
6043,1,0,0.051,0,0,0,2,16,1,1,1,1256.46,258826,127180,10070,11,0,1,205
6047,2,0,0,0,0,0,12,114,12,3,21,4057.88,86749,35630,2468,40.8,40.8,0,355
6057,1,0,0.059,0,0,0,9,53,8,2,6,1934.97,137744,68275,4270,39.2,0,0,154
6061,2,0,0,0,0,0,9,116,20,4,54,3048.98,3175692,1501855,96901,121.5,67.6,0,1160
6063,3,0,0,0,0,0,7,15,2,3,0,3280.6,398329,163250,10816,144.8,144.8,0,334
