Fips_code,PM2.5 24hr 2012,SO2 24-hour 1971,Ozone 8-hour 2015,NO2 1-hour,Coal_Plants,Power_Plants,Airports,Public_Schools,Private Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1003,5.972727,0,0,0,0,0,0.018870536,0.028934821,0.005661161,4,12,1589.78,223234,86310,5384,30.4,0,1,360
1027,4.16,0,0,0,0,0,0.004967216,0.006622955,0.003311478,1,1,603.96,13235,5380,185,28.8,0,0,130
1049,5.9,0,0,0,0,0,0.005147409,0.025737045,0.002573704,1,4,777.09,71513,27645,1110,39.2,0,0,300
1055,5.9,0,0,0,0,0,0.001869194,0.076636946,0.009345969,4,9,534.99,102268,40545,1978,59.6,0,0,231
1073,7.917857,0.993548,0.032207,24.99763,0.000899863,0,0.024296307,0.155676337,0.046792887,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
1097,6.34,0.765517,0,0,0.000813378,0,0.013827434,0.082151223,0.029281624,7,15,1229.44,413210,169770,8813,151.5,29.9,54,592
1101,5.7775,0,0,0,0,0,0.008925725,0.075231113,0.025502072,8,19,784.25,226486,100030,5585,99.6,0,1,584
1103,5.525,0,0,0,0,0,0.003452204,0.077674595,0.006904408,4,8,579.34,119679,49680,2620,40.6,0,7,263
1113,5.656165,0,0,0,0,0,0.001559722,0.028074991,0.003119443,2,10,641.14,57961,24310,790,31.7,0,0,205
1125,5.5,0,0,0,0,0,0.003026268,0.043880886,0.006052536,7,14,1321.76,209355,88780,4111,107.1,41.7,2,480
2170,18.4,0,0,0,0,0,0.005496362,0.001987146,0.000211399,1,0,23652.01,1592,590,51,0,0,0,6
4001,1.253572,0,0,0,0.000261456,0,0.001830195,0.007974419,0.000392185,4,1,7649.46,5230,2025,101,38.3,38.3,1,73
4012,2.911111,0,0.042614,0,0,0,0.001471228,0.002942456,0,2,1,4757.93,9498,3545,83,41.2,0,0,89
4013,13.51375,1.04125,0.03225,33.15185,0,0.000216328,0.029204344,0.275602475,0.032881928,78,267,4622.6,21108,6265,337,75.1,0,0,302
4023,9.363186,0,0,0,0,0,0.000100498,0.003115446,0.000100498,1,1,9950.42,462789,138405,3713,200.7,69.3,0,704
4027,6.748352,0,0.041382,0,0,0,0.00093186,0.015468884,0.00093186,3,5,5365.61,235099,81005,5985,213.9,48.4,0,540
5001,5.673333,0,0,0,0,0,0.004042299,0.007276138,0.001616919,2,0,1236.92,213787,74390,3037,114,86,0,261
5003,5.399167,0,0,0,0,0,0.000615498,0.000861698,0,1,0,8123.5,17486,7865,502,19.7,0,0,157
5035,6.541935,0,0.0317,17.36374,0,0,0.003916193,0.026107956,0.002610796,3,4,766.05,63257,25210,1072,56.1,32.3,1,248
5051,6.306553,0,0,0,0,0,0.006036023,0.033801729,0.007243228,6,0,828.36,12477,4275,161,13.9,0,0,102
5067,6.096429,0,0,0,0,0,0,0.008127438,0,1,0,615.2,13629,4460,221,41.7,0,0,98
5113,5.480645,0,0.035214,0,0,0,0.001813565,0.016322089,0,1,0,551.4,23528,9060,351,61.1,0,0,200
5119,7.596678,0.783516,0.031378,19.6011,0,0,0.021097325,0.167460014,0.040876066,20,34,758.39,8062,3325,149,4.4,0,0,93
5139,6.727778,0,0,0,0,0,0.007520069,0.035720329,0.003760035,1,3,531.91,12506,4255,226,0,0,0,73
5143,5.406667,0,0.037434,0,0,0,0.004963272,0.114155251,0.014889815,11,21,604.44,16545,5400,310,0,0,0,98
6011,5.215,0,0,0,0,0,0.023003437,0.029769154,0.001353143,1,0,739.02,45905,15995,924,0,0,0,105
6019,15.32862,0,0.039202,0,0,0,0.036274154,0.344114273,0.022548799,15,97,1020.01,192843,78175,4516,0,0,0,184
6025,15.57088,0,0,0,0,0,0.010930374,0.073531604,0.007949363,2,4,1006.37,135558,57605,3209,0,0,1,396
6029,15.67677,0,0,0,0,0,0.005874464,0.044981613,0.005035255,15,47,5957.99,18039,8085,501,0,0,0,70
6031,18.7,0,0.031622,0,0,0,0.012938087,0.05175235,0.003044256,4,6,1313.95,900202,323690,12924,349.1,41.6,0,662
6039,13.84,0,0,0,0,0,0.000614861,0.009714803,0.000614861,2,26,8131.92,10039107,4591360,275316,509.2,245,97,3538
6047,15.875,0,0,0,0,0,0.002957209,0.028093487,0.002957209,3,21,4057.88,86749,35630,2468,40.8,40.8,0,355
6057,5.451418,0,0.041466,0,0,0,0.004651235,0.027390606,0.004134431,2,6,1934.97,137744,68275,4270,39.2,0,0,154
