Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1073,2,4,1,4,1,0,27,173,52,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
1097,1,3,#N/A,#N/A,1,0,17,101,36,7,15,1229.44,413210,169770,8813,151.5,29.9,54,592
1117,1,4,#N/A,#N/A,1,0,6,46,13,3,20,784.93,217702,101260,5238,160.9,5,0,343
1119,1,1,#N/A,#N/A,0,0,1,7,1,1,1,903.89,12427,4200,197,27.2,27.2,0,245
4007,1,4,4,#N/A,0,0,4,36,3,4,2,11197.52,143476,63960,3746,285.6,196.2,0,403
4013,4,3,3,4,0,1,135,1274,152,78,267,4622.6,21108,6265,337,75.1,0,0,302
5119,2,2,2,3,0,0,16,127,31,20,34,758.39,8062,3325,149,4.4,0,0,93
6083,1,1,4,2,0,0,12,124,28,9,75,4206.63,766573,387600,21366,41.3,34.2,5,362
8001,1,3,1,4,0,0,38,159,18,7,22,4824.22,78668,27105,819,53.6,15.9,0,144
8031,2,3,2,4,0,0,10,212,43,18,140,395.23,31162,10985,824,69.7,0,0,64
8041,1,3,3,#N/A,2,0,15,230,25,12,52,1142.05,26729,12410,622,28.5,0,0,85
10003,2,3,1,4,0,0,17,133,55,10,25,920.56,180786,76485,3583,43,0,0,198
10005,2,1,#N/A,#N/A,1,0,7,50,11,4,16,369.3,558753,265675,15971,125.9,37.8,7,499
12017,1,4,#N/A,#N/A,1,0,13,27,4,2,5,61.05,188910,55865,4006,24.7,0,0,209
12031,1,3,4,3,1,0,24,219,112,15,63,1015.66,16826,4795,190,0,0,0,55
12081,1,2,#N/A,#N/A,0,0,8,80,22,5,13,502.87,18493,5815,302,60.7,0,0,59
12105,2,3,4,#N/A,1,0,36,164,46,6,18,1897.72,974996,424110,28754,29.9,0,5,422
12107,1,3,#N/A,#N/A,1,0,7,25,6,1,4,983.28,724777,248620,11676,240.2,73.4,0,357
13021,2,1,#N/A,#N/A,0,0,3,42,14,8,6,57513.49,19397,6870,248,24.1,0,0,81
13051,2,4,#N/A,#N/A,0,0,6,60,25,9,21,493.05,13392,4600,146,46.4,19.2,0,72
13089,2,1,1,4,0,0,22,152,65,16,40,339.55,26404,9815,585,56.3,0,0,74
13115,1,3,#N/A,#N/A,0,0,4,29,4,4,4,391.94,114421,50100,3509,15.2,0,0,74
13121,1,1,#N/A,4,0,0,24,199,94,18,224,512.59,23349,7800,453,14.2,0,0,117
13245,2,2,#N/A,#N/A,0,0,7,61,12,11,10,312.22,6778,2540,128,32.7,0,0,50
15001,1,4,#N/A,#N/A,0,0,7,56,11,6,30,284.3,20247,8580,262,18.2,0,0,123
17019,1,2,1,#N/A,1,0,21,61,17,3,23,449.46,12147,6055,238,11,0,2,77
17031,2,3,1,4,2,0,59,1403,449,73,257,235.51,50621,24585,1174,58.2,20.3,0,305
17099,1,2,#N/A,#N/A,0,1,11,51,8,4,10,378.87,696535,348750,19861,153.6,94.9,3,251
17115,2,4,#N/A,#N/A,2,0,11,46,5,2,3,343.92,171517,90470,3609,130.4,42.6,0,623
17117,1,2,#N/A,1,0,0,14,29,1,2,2,520.06,104009,47650,2417,120.8,0,0,346
17119,2,3,#N/A,#N/A,0,0,6,77,27,7,15,676.56,44926,20625,862,109.8,41,0,245
17163,2,3,#N/A,2,0,0,9,94,19,4,15,703.69,141879,67155,3077,66.2,0,2,275
17179,1,3,#N/A,#N/A,1,0,5,57,9,2,2,368.77,44498,21205,1054,32.6,1.3,0,341
17185,1,3,#N/A,#N/A,0,0,3,5,2,1,0,575.5,75758,31700,1426,125.4,0,0,493
18043,1,2,3,#N/A,1,0,5,17,4,3,5,311.98,23102,9375,446,29.9,24.9,0,100
18051,1,4,#N/A,#N/A,1,0,8,13,3,1,0,357.54,19974,9095,462,7.2,0,0,83
18089,2,4,1,3,0,0,24,131,28,16,26,306.02,39614,15865,852,4.1,0,0,100
18097,2,2,1,3,0,0,48,255,79,22,74,293.06,129569,54725,2264,82.3,0,0,297
18127,2,4,1,#N/A,0,0,4,54,11,3,41,396.3,12389,5840,190,53.5,0,0,172
18163,2,2,4,2,0,0,3,40,15,6,14,480.53,7054,3305,118,30.7,16.4,0,57
18167,2,2,1,#N/A,0,0,1,29,6,4,12,446.43,15498,6375,268,47.6,0,0,127
19045,2,3,2,#N/A,1,0,3,18,2,3,4,565.77,17549,8790,538,59.3,0,1,262
19113,2,4,2,#N/A,2,0,5,77,14,2,26,571.01,33657,16085,875,61,19.8,6,218
19139,2,4,#N/A,#N/A,1,0,1,16,1,1,7,579.18,9917,4620,310,35.5,25.8,0,216
19163,2,2,1,#N/A,0,0,5,52,8,4,20,469.13,9721,4905,333,34.9,0,0,234
19177,2,1,2,1,0,0,2,3,0,1,0,534.94,12241,6275,332,24.8,24.8,0,187
21061,1,2,#N/A,#N/A,0,0,1,5,0,0,0,492.41,101511,43020,2327,26.4,0,6,282
22015,1,3,4,#N/A,0,0,14,34,1,5,11,374.5,13241,5105,227,57.9,0,0,190
22019,1,4,4,3,1,0,22,61,11,13,6,151.65,240204,106110,6293,142.1,0,1,688
22033,1,4,3,3,0,0,42,125,46,21,24,222.17,27463,10525,427,74.8,0,0,206
22087,1,4,4,#N/A,0,0,1,12,2,2,0,569.18,23884,8225,480,45.7,0,0,201
22089,1,4,#N/A,#N/A,0,1,5,15,2,1,0,295.63,47244,17520,678,16.2,0,8,29
22093,1,1,3,#N/A,0,0,1,9,1,2,0,268.72,10132,3565,115,0,0,0,140
22121,1,4,2,3,0,0,0,10,3,0,1,559.04,38340,14840,784,62.7,0,0,195
23005,2,1,3,4,0,0,31,96,23,8,38,213.07,67055,29995,1935,249.8,0,0,223
23009,1,1,4,#N/A,0,0,8,34,7,4,8,737.65,30199,14040,862,16.4,0,0,129
24001,1,2,#N/A,#N/A,1,0,2,22,7,2,1,359.65,207641,102135,5633,38.4,34.2,0,235
24003,1,2,4,#N/A,2,0,13,124,44,3,40,403.21,70416,28725,1552,63.5,29.4,0,244
24005,2,2,2,3,0,0,18,173,87,6,26,950.09,579234,293520,14338,25.3,21.5,3,376
24019,1,1,2,#N/A,0,0,4,13,2,3,6,1586.89,163257,77930,2625,34.5,0,0,91
24023,1,2,2,1,0,0,5,12,3,1,1,365.13,259547,127025,6214,78.1,34.4,0,477
25005,2,2,#N/A,#N/A,0,0,17,143,43,10,22,447.6,124944,62120,3872,84.9,30.5,0,444
25013,2,2,#N/A,4,0,0,21,163,35,10,31,660.22,70180,36410,1574,100.4,25.8,0,297
25015,1,1,#N/A,3,0,0,5,49,10,4,35,647.1,466372,210670,9584,111.8,70.1,0,428
25025,2,2,1,4,0,0,10,166,41,24,104,482.69,521202,252515,12744,74.5,48.1,1,284
25027,2,2,#N/A,4,0,0,31,258,59,16,56,371.91,803907,403630,21478,41.4,39.3,24,492
28049,2,2,3,3,0,0,14,90,23,9,14,46923.27,208080,87295,4176,74.4,28.4,9,299
28059,2,2,3,2,1,0,8,46,5,2,10,406.62,23390,9005,372,13.6,0,0,220
30049,1,1,2,#N/A,0,0,23,27,6,3,2,681.77,30458,11610,815,38.2,0,0,122
30083,1,3,#N/A,1,1,0,8,16,1,1,0,5087.66,43806,16890,1465,0,0,0,147
30111,2,4,#N/A,#N/A,0,0,4,62,11,4,8,3587.48,969,525,34,16.9,0,0,29
31055,1,4,2,#N/A,1,0,21,198,49,18,31,76824.17,36565,18120,1012,77.8,16.2,0,324
32003,3,3,4,4,0,0,43,429,69,47,85,431.08,24909,9715,478,68.5,42,0,68
35045,1,4,4,2,2,0,4,63,7,3,7,628.78,146748,58130,1766,31.2,31.2,0,184
36001,2,1,2,#N/A,0,0,23,76,28,7,77,6923.69,76688,27700,911,106.3,62.7,0,69
36005,2,3,1,4,0,0,1,440,61,15,19,4539.48,46091,19890,761,58.5,0,0,401
36013,1,1,3,#N/A,0,0,11,51,13,5,13,3807.51,76576,36005,1601,30.6,11.4,0,145
36027,1,1,2,#N/A,0,0,15,77,26,4,23,4831.09,44135,19380,1058,47,15.6,0,450
36029,2,2,2,4,0,0,27,219,61,16,89,109.17,294218,140505,7607,94.7,94.7,1,336
36031,1,1,4,#N/A,0,0,11,17,7,3,3,2965.19,918702,434030,22940,227.8,63.2,3,896
36041,1,1,4,#N/A,0,0,5,5,0,0,2,5860.84,47188,19235,1167,24.3,0,1,227
36055,2,1,2,3,0,0,15,185,43,8,64,6646.68,70941,32625,1402,25.2,13.8,0,173
36059,1,3,#N/A,#N/A,0,0,17,315,91,13,48,3344.85,49221,21140,1074,42.2,40.2,0,203
36067,2,1,3,#N/A,0,0,10,124,25,7,48,522.8,228671,100765,4899,121,69.9,0,487
36079,1,1,3,#N/A,0,0,2,22,5,1,0,1060.23,59493,27540,1391,56.4,8.3,0,272
36081,2,3,1,4,0,0,6,376,128,13,28,407.35,98320,49850,2898,35.4,35.4,0,102
36089,1,4,#N/A,#N/A,0,0,7,40,16,5,10,498.76,325789,144060,10187,38.2,11.4,0,244
36101,2,1,2,#N/A,0,0,5,36,5,6,1,495.47,34016,15115,720,41.7,0,0,59
36103,1,1,2,#N/A,0,0,30,347,59,14,119,492.94,95379,42245,1808,126.7,0,0,629
37013,1,4,#N/A,#N/A,0,0,10,15,3,2,0,811.69,17557,6395,494,0,0,0,105
37019,1,4,#N/A,#N/A,1,1,7,21,7,3,6,1001.7,32722,12505,514,36.9,0,0,124
37021,1,1,#N/A,#N/A,0,0,14,59,30,4,33,230.31,142820,45375,2531,63,0,4,156
37027,1,1,#N/A,#N/A,0,0,0,26,1,1,2,58.37,216453,90790,4404,29.6,17.3,0,227
37063,1,2,#N/A,#N/A,0,0,4,71,24,6,22,592.75,58741,24060,850,36.4,0,0,210
37087,1,4,#N/A,#N/A,1,0,1,16,2,1,6,846.97,135976,51265,1692,35.8,9.4,0,135
37117,1,1,#N/A,#N/A,1,0,1,12,0,1,2,708.96,21755,9045,334,28.3,0,0,239
37119,1,1,4,3,0,1,19,209,61,14,64,652.32,22440,9065,430,36.1,0,0,124
37145,1,3,#N/A,#N/A,2,0,2,13,0,1,3,531.57,13463,5315,209,15.8,0,0,42
37183,1,1,1,2,0,0,12,218,52,8,138,449.57,44535,16665,859,21,0,0,73
38007,1,3,2,#N/A,0,0,4,2,0,0,0,226.88,6832,2385,83,58.3,31.3,0,40
38013,1,4,1,1,0,0,6,6,0,0,0,392.32,3024,1670,160,48.5,0,0,68
38015,1,3,1,3,0,0,16,36,9,2,5,651.98,2115,1100,75,95.7,0,0,29
38017,1,2,1,3,0,0,30,59,5,9,23,237.79,95626,49725,3013,84,0,0,116
38025,1,3,1,1,0,0,10,6,0,0,0,565.55,2264,1240,99,55.6,0,0,13
38053,1,2,2,1,0,0,3,10,1,1,1,428.46,2497,1365,112,12.2,0,0,11
38057,2,4,1,1,3,0,4,6,0,1,0,312.56,9450,4535,264,107.9,0,0,58
38065,1,3,1,1,1,0,0,2,0,0,0,334.83,2879,1505,130,75.1,25.8,0,23
38101,1,3,2,1,0,0,10,36,3,3,4,635.45,10641,5470,403,152.5,0,0,262
38105,1,3,#N/A,#N/A,0,0,7,24,1,2,4,1436.38,3834,2005,188,70.5,0,0,42
39001,1,2,#N/A,#N/A,0,0,3,9,1,1,0,1659.14,37589,16685,1500,64.9,64.9,0,104
39003,1,2,1,#N/A,0,0,9,36,8,5,10,708.82,27698,10050,388,17.6,0,2,187
39007,1,2,#N/A,#N/A,0,0,16,32,22,5,1,1351.19,53484,23770,1060,43.5,0,0,288
39013,2,2,#N/A,2,0,0,3,23,7,4,0,1873.95,45656,22750,968,52,0,0,341
39017,2,4,2,#N/A,0,0,14,86,19,9,5,2760.32,43432,18690,535,20,0,1,264
39023,1,2,2,#N/A,0,0,10,50,8,4,8,1926.27,38885,17675,577,41.3,0,0,200
39029,1,2,#N/A,#N/A,0,0,11,38,4,2,1,722.51,41968,18400,735,41.8,0,0,223
39035,2,4,2,3,0,0,30,376,104,29,52,1186.85,41494,17955,802,82.1,0,0,232
39049,2,2,1,3,0,0,28,375,77,27,88,1094.09,28525,12225,598,40.2,0,0,244
39053,1,4,#N/A,#N/A,2,0,5,14,1,1,2,1334.74,42126,20065,958,46.2,24.4,0,206
39061,2,4,3,4,1,0,18,199,94,23,48,861.95,38875,16145,861,13.3,0,0,356
39081,2,3,2,#N/A,2,0,4,23,2,4,0,503.6,32413,12830,624,41.4,0,0,261
39085,2,3,2,#N/A,0,1,1,58,12,3,10,532.13,62322,27285,1098,11.1,0,0,284
39087,1,2,#N/A,#N/A,0,0,1,25,2,1,2,490.02,230149,115685,5980,77.1,28.4,1,213
39095,2,2,#N/A,#N/A,0,0,11,144,28,14,31,397.47,309833,136655,5623,138,27.1,1,379
39099,2,2,#N/A,#N/A,0,0,12,75,13,10,6,408.68,44731,18010,683,27.3,0,0,190
39115,1,4,#N/A,#N/A,0,0,2,6,0,0,0,251.56,531687,235180,11141,60.8,0,0,644
39135,2,2,1,#N/A,0,0,3,17,0,0,3,531.36,162466,78980,3044,69.2,21.2,0,224
39145,1,3,#N/A,#N/A,0,0,3,33,2,2,1,421.32,58518,27815,1336,59.7,0,0,311
39153,2,2,2,#N/A,0,0,11,150,42,14,35,408.33,370606,173775,8162,152,5.8,0,426
40047,1,4,#N/A,#N/A,0,0,12,34,4,3,8,575.27,3859,1780,118,30.7,0,0,149
40071,2,4,#N/A,#N/A,0,0,5,22,2,2,1,406.87,11085,3830,184,25.8,0,0,157
40097,1,3,#N/A,#N/A,0,0,6,22,1,1,8,770.36,16931,6140,296,22.1,0,0,78
40101,1,2,#N/A,#N/A,2,0,3,38,3,4,10,538.77,14073,6095,284,28.7,22.4,0,119
40109,2,2,4,3,0,0,26,241,32,32,99,761.35,11993,3845,158,8.8,0,0,228
40143,2,3,4,3,0,0,19,183,37,24,72,642.94,7250,3085,133,58.2,0,0,286
41051,1,3,#N/A,1,0,0,31,162,69,12,74,675.63,11603,4730,197,49.4,0,1,70
42003,2,4,3,3,1,0,48,290,119,32,90,95988.01,103009,49600,1974,52,0,0,242
44007,2,2,1,4,0,0,3,200,51,15,47,827.03,82082,42660,2760,0,0,2,40
45019,1,3,4,2,0,0,11,88,37,12,22,672.58,14553,6220,233,35.1,0,0,66
45045,2,1,4,2,0,0,17,107,41,12,34,1074.37,62680,23325,1826,43.4,0,1,114
45063,2,1,#N/A,#N/A,0,0,10,71,11,3,10,1027.55,16828,5860,189,10.7,0,0,94
45073,1,1,#N/A,#N/A,0,1,4,17,7,1,6,168.53,38440,16065,750,52.5,0,0,220
45079,1,1,3,2,1,0,7,105,28,17,35,329.24,126884,50900,2037,26.9,26.6,0,274
45091,1,2,1,#N/A,0,1,5,65,10,2,16,393.37,30368,11550,482,61.5,27.5,0,198
47009,1,1,1,1,0,0,11,31,7,2,5,507.23,16160,5755,302,12.7,0,0,150
48029,2,2,#N/A,3,1,0,72,567,71,47,81,544.73,32565,10090,479,0,0,0,131
48139,1,2,#N/A,2,0,0,22,62,4,3,4,944.43,166223,70345,3639,36.6,0,0,232
48141,1,3,1,4,0,0,14,278,37,19,29,659.03,1932,925,41,0,0,0,141
48161,1,3,#N/A,#N/A,0,0,5,15,0,1,0,597.14,811688,319775,13459,109.7,33.8,0,60
48183,1,4,#N/A,1,0,0,9,45,8,7,2,937.75,21886,9180,555,24.8,0,0,286
48203,1,4,#N/A,1,1,0,4,32,3,1,2,871.28,57602,23985,810,69.3,0,0,77
48227,1,4,#N/A,#N/A,0,0,0,15,1,3,2,2117.86,37084,14985,765,75.7,0,0,84
48233,1,4,#N/A,#N/A,0,0,0,13,0,1,1,1083.07,4886,1100,30,106,77.8,0,129
48245,2,3,1,3,0,0,12,85,7,15,12,704.4,35529,12435,605,86.3,0,0,169
48257,1,3,#N/A,2,0,0,12,53,2,3,1,378.36,20083,5280,276,0,0,0,373
48309,1,3,#N/A,#N/A,1,0,11,129,10,4,23,908.39,5951,2305,84,3.9,0,0,5
48331,1,2,#N/A,#N/A,0,0,6,17,2,2,1,938.85,2138,835,45,0,0,0,63
48349,1,4,#N/A,2,0,0,9,26,2,1,2,662.45,1200,430,26,0,0,0,51
48355,1,2,1,#N/A,0,0,20,126,18,15,12,1103.32,13595,4385,125,24.2,0,0,157
