Fips_code,PM2.5 24hr 2012,SO2 24-hour 1971,Ozone 8-hour 2015,NO2 1-hour,Coal_Plants,Power_Plants,Airports,Public_Schools,Private Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
1073,7.917857,0.993548,0.032207,24.99763,0.000899863,0,0.024296307,0.155676337,0.046792887,14,24,1111.28,658573,292780,16430,318.4,41.9,4,1051
1097,6.34,0.765517,0,0,0.000813378,0,0.013827434,0.082151223,0.029281624,7,15,1229.44,413210,169770,8813,151.5,29.9,54,592
1117,0,0.951613,0,0,0.001273999,0,0.007643994,0.058603952,0.016561986,3,20,784.93,217702,101260,5238,160.9,5,0,343
1119,0,0.441935,0,0,0,0,0.001106329,0.007744305,0.001106329,1,1,903.89,12427,4200,197,27.2,27.2,0,245
4007,0,1.96451,0.040303,0,0,0,0.000357222,0.003214998,0.000267916,4,2,11197.52,143476,63960,3746,285.6,196.2,0,403
4013,13.51375,1.04125,0.03225,33.15185,0,0.000216328,0.029204344,0.275602475,0.032881928,78,267,4622.6,21108,6265,337,75.1,0,0,302
5119,7.596678,0.783516,0.031378,19.6011,0,0,0.021097325,0.167460014,0.040876066,20,34,758.39,8062,3325,149,4.4,0,0,93
6083,4.393817,0.033334,0.033119,7.15614,0,0,0.00285264,0.029477278,0.006656159,9,75,4206.63,766573,387600,21366,41.3,34.2,5,362
8001,6.294118,0.871667,0.034579,43.30741,0,0,0.007876921,0.032958696,0.003731173,7,22,4824.22,78668,27105,819,53.6,15.9,0,144
8031,5.077962,0.742917,0.031036,46.74553,0,0,0.025301723,0.536396529,0.108797409,18,140,395.23,31162,10985,824,69.7,0,0,64
8041,0,0.922034,0.041746,0,0.001751237,0,0.013134276,0.201392233,0.02189046,12,52,1142.05,26729,12410,622,28.5,0,0,85
10003,7.191985,0.380454,0.02725,29.28148,0,0,0.01846702,0.144477275,0.059746241,10,25,920.56,180786,76485,3583,43,0,0,198
10005,7.058333,0.101667,0,0,0.002707826,0,0.018954779,0.135391281,0.029786082,4,16,369.3,558753,265675,15971,125.9,37.8,7,499
12017,0,0.974725,0,0,0.016380016,0,0.212940213,0.442260442,0.065520066,2,5,61.05,188910,55865,4006,24.7,0,0,209
12031,7.915179,0.901813,0.03781,19.57495,0.000984581,0,0.023629955,0.215623339,0.110273123,15,63,1015.66,16826,4795,190,0,0,0,55
12081,0,0.473626,0,0,0,0,0.015908684,0.159086842,0.043748881,5,13,502.87,18493,5815,302,60.7,0,0,59
12105,9.372,0.602273,0.039163,0,0.000526948,0,0.018970133,0.086419493,0.024239614,6,18,1897.72,974996,424110,28754,29.9,0,5,422
12107,0,0.764835,0,0,0.001017004,0,0.00711903,0.025425108,0.006102026,1,4,983.28,724777,248620,11676,240.2,73.4,0,357
13021,5.74228,0.405,0,0,0,0,5.22E-05,0.000730263,0.000243421,8,6,57513.49,19397,6870,248,24.1,0,0,81
13051,8.457778,1.312009,0,0,0,0,0.012169151,0.121691512,0.050704797,9,21,493.05,13392,4600,146,46.4,19.2,0,72
13089,6.751759,-0.11333,0.027102,24.15583,0,0,0.064791636,0.447651303,0.191429834,16,40,339.55,26404,9815,585,56.3,0,0,74
13115,0,0.478333,0,0,0,0,0.010205644,0.073990917,0.010205644,4,4,391.94,114421,50100,3509,15.2,0,0,74
13121,6.85,0.196667,0,27.04237,0,0,0.046821046,0.388224507,0.18338243,18,224,512.59,23349,7800,453,14.2,0,0,117
13245,10.01648,0.065517,0,0,0,0,0.022420088,0.195375056,0.038434437,11,10,312.22,6778,2540,128,32.7,0,0,50
15001,1.544878,0.223729,0,0,0,0,0.024621878,0.196975026,0.038691523,6,30,284.3,20247,8580,262,18.2,0,0,123
17019,7.171667,0.333333,0.028439,0,0.002224892,0,0.046722734,0.135718418,0.037823166,3,23,449.46,12147,6055,238,11,0,2,77
17031,10.12199,0.889218,0.030107,27.42603,0.008492208,0,0.250520148,5.957284192,1.906500786,73,257,235.51,50621,24585,1174,58.2,20.3,0,305
17099,0,0.165,0,0,0,0.002639428,0.029033705,0.134610816,0.021115422,4,10,378.87,696535,348750,19861,153.6,94.9,3,251
17115,9.448276,0.395833,0,0,0.005815306,0,0.031984182,0.133752035,0.014538265,2,3,343.92,171517,90470,3609,130.4,42.6,0,623
17117,0,-0.06923,0,5.777586,0,0,0.026919971,0.055762797,0.001922855,2,2,520.06,104009,47650,2417,120.8,0,0,346
17119,9.503275,0.896667,0,0,0,0,0.008868393,0.113811044,0.039907769,7,15,676.56,44926,20625,862,109.8,41,0,245
17163,10.2375,0.888333,0,19.39833,0,0,0.012789723,0.133581549,0.027000526,4,15,703.69,141879,67155,3077,66.2,0,2,275
17179,0,0.888333,0,0,0.002711717,0,0.013558587,0.154567888,0.024405456,2,2,368.77,44498,21205,1054,32.6,1.3,0,341
17185,0,0.707692,0,0,0,0,0.005212858,0.008688097,0.003475239,1,0,575.5,75758,31700,1426,125.4,0,0,493
18043,0,0.443636,0.035,0,0.003205334,0,0.016026668,0.054490672,0.012821335,3,5,311.98,23102,9375,446,29.9,24.9,0,100
18051,0,1.228409,0,0,0.00279689,0,0.022375119,0.036359568,0.00839067,1,0,357.54,19974,9095,462,7.2,0,0,83
